Skole,Bydel
Bakås skole,Alna
Bryn skole,Alna
Ellingsrud skole,Alna
Ellingsrudåsen skole,Alna
Furuset skole,Alna
Granstangen skole,Alna
Haugerud skole,Alna
Haukåsen skole,Alna
Hellerud videregående skole,Alna
Jeriko skole,Alna
Lindeberg skole,Alna
Lutvann skole,Alna
Nordvoll skole og autismesenter,Alna
Skjønnhaug skole,Alna
Trosterud skole,Alna
Tveita skole,Alna
Natur videregående skole,Alna
Bjerke videregående skole,Bjerke
Fagskolen Oslo Akershus,Bjerke
Kuben videregående skole,Bjerke
Kuben Yrkesarena,Bjerke
Linderud skole,Bjerke
Lønnebakken skole og ressurssenter,Bjerke
Løren skole,Bjerke
Oslo VO Hovinbyen,Bjerke
Refstad skole,Bjerke
Tonsenhagen skole,Bjerke
Veitvet skole,Bjerke
Vollebekk skole,Bjerke
Årvoll skole,Bjerke
Bygdøy skole,Frogner
Hartvig Nissens skole,Frogner
Majorstuen skole,Frogner
Oslo handelsgymnasium,Frogner
Ruseløkka skole,Frogner
Skøyen skole,Frogner
Uranienborg skole,Frogner
Vika videregående skole,Frogner
Den Tysk-Norske skolen i Oslo,Frogner
Kristelig gymnasium AS,Frogner
Lycee Francais Rene Cassin Doslo,Frogner
Den tysk-norske skolen i Oslo/Deutsch-Norwegische Schule Oslo,Frogner
Kristelig Gymnasium AS,Frogner
OPG Oslo Private Gymnasium,Frogner
WANG videregående/WANG Toppidrett,Frogner
Brynseng skole,Gamle Oslo
Etterstad videregående skole,Gamle Oslo
Fyrstikkalleen skole,Gamle Oslo
Gamlebyen skole,Gamle Oslo
Jordal skole,Gamle Oslo
Kampen skole,Gamle Oslo
Kongshavn videregående skole,Gamle Oslo
Kongsskogen videregående skole,Gamle Oslo
Oslo musikk- og kulturskole,Gamle Oslo
Sjøskolen Oslo,Gamle Oslo
Sommerskolen Oslo,Gamle Oslo
Teglverket skole,Gamle Oslo
Tøyen skole,Gamle Oslo
Vahl skole,Gamle Oslo
Valle Hovin vgs,Gamle Oslo
Voksenopplæring Grønland,Gamle Oslo
Voksenopplæring Helsfyr,Gamle Oslo
Vålerenga skole,Gamle Oslo
Nyskolen i Oslo,Gamle Oslo
Akademiet Norsk Restaurantskole,Gamle Oslo
Ammerud skole,Grorud
Apalløkka skole,Grorud
Bjøråsen skole,Grorud
Grorud skole,Grorud
Groruddalen skole,Grorud
Nordtvet skole,Grorud
Rødtvet skole,Grorud
Svarttjern skole,Grorud
Tiurleiken skole,Grorud
Elvebakken videregående skole,Grünerløkka
Foss videregående skole,Grünerløkka
Frydenberg skole,Grünerløkka
Grünerløkka skole,Grünerløkka
Hasle skole,Grünerløkka
Hersleb videregående skole,Grünerløkka
Lakkegata skole,Grünerløkka
Sinsen skole,Grünerløkka
Sofienberg skole,Grünerløkka
Språksenteret,Grünerløkka
Voksenopplæring Rosenhof,Grünerløkka
Voksenopplæring Sinsen,Grünerløkka
Wang Ung Oslo AS,Grünerløkka
Berg skole,Nordre Aker
Blindern videregående skole,Nordre Aker
Disen skole,Nordre Aker
Eikelund videregående skole,Nordre Aker
Elverhøy skole,Nordre Aker
Engebråten skole,Nordre Aker
Grefsen skole,Nordre Aker
Kirkeveien videregående skole,Nordre Aker
Kjelsås skole,Nordre Aker
Korsvoll skole,Nordre Aker
Kringsjå skole,Nordre Aker
Maridalen skole,Nordre Aker
Morellbakken skole,Nordre Aker
Nordberg skole,Nordre Aker
Nordre Aker skole,Nordre Aker
Nydalen videregående skole,Nordre Aker
Sykehusskolen i Oslo,Nordre Aker
Tåsen skole,Nordre Aker
Ullevål skole,Nordre Aker
Voksenopplæring Nydalen,Nordre Aker
Humanistskolen,Nordre Aker
Akademiet VGS Heltberg Ullevaal,Nordre Aker
Bekkelaget skole,Nordstrand
Brannfjell skole,Nordstrand
Ekeberg skole,Nordstrand
Holtet videregående skole,Nordstrand
Karlsrud skole,Nordstrand
Kastellet skole,Nordstrand
Lambertseter skole,Nordstrand
Lambertseter videregående skole,Nordstrand
Ljan skole,Nordstrand
Munkerud skole,Nordstrand
Nedre Bekkelaget skole,Nordstrand
Nordseter skole,Nordstrand
Nordstrand skole,Nordstrand
Nordstrand ungdomsskole,Nordstrand
Ljabruskolen - steinerskole for Elever Med Spesielle Behov,Nordstrand
Ryenberget skole,Nordstrand
Steinerskolen på Nordstrand,Nordstrand
Bentsebrua skole,Sagene
Bjølsen skole,Sagene
Fernanda Nissen skole,Sagene
Lilleborg skole,Sagene
Nordpolen skole,Sagene
Sagene skole,Sagene
Voldsløkka skole,Sagene
Akademiet realfagsskole Oslo AS,Sagene
Bolteløkka skole,St. Hanshaugen
Edvard Munch videregående skole,St. Hanshaugen
Fagerborg skole,St. Hanshaugen
Ila skole,St. Hanshaugen
Marienlyst skole,St. Hanshaugen
Møllergata skole,St. Hanshaugen
Oslo katedralskole,St. Hanshaugen
Ullevålsveien skole,St. Hanshaugen
St Sunniva skole,St. Hanshaugen
Akademiet vgs Heltberg Bislett,St. Hanshaugen
Akademiet VGS Oslo,St. Hanshaugen
Oslo by Steinerskole,St. Hanshaugen
Otto Treider Private Gymnas,St. Hanshaugen
Haugen skole,Stovner
Haugenstua skole,Stovner
Høybråten skole,Stovner
Rommen skole,Stovner
Stasjonsfjellet skole,Stovner
Stovner skole,Stovner
Stovner videregående skole,Stovner
Tokerud skole,Stovner
Vestli skole,Stovner
Bjørndal skole,Søndre Nordstrand
Bjørnholt skole,Søndre Nordstrand
Bjørnholt videregående skole,Søndre Nordstrand
Hallagerbakken skole,Søndre Nordstrand
Hauketo skole,Søndre Nordstrand
Holmlia skole,Søndre Nordstrand
Klemetsrud skole,Søndre Nordstrand
Lofsrud skole,Søndre Nordstrand
Lusetjern skole,Søndre Nordstrand
Mortensrud skole,Søndre Nordstrand
Prinsdal skole,Søndre Nordstrand
Rosenholm skole,Søndre Nordstrand
Seterbråten skole,Søndre Nordstrand
Stenbråten skole,Søndre Nordstrand
Toppåsen skole,Søndre Nordstrand
Bestum skole,Ullern
Bjørnsletta skole,Ullern
Lilleaker skole,Ullern
